 12Z 21 Jul 2017   619.75  43.34
 00Z 22 Jul 2017   4139.22  48.08
 12Z 22 Jul 2017   3233.55  39.90
 00Z 23 Jul 2017   888.35  28.89
 12Z 23 Jul 2017   349.62  23.53
 00Z 24 Jul 2017   0.00  23.91
 12Z 24 Jul 2017   0.00  26.22
 00Z 25 Jul 2017   500.12  33.86
 12Z 25 Jul 2017   431.28  36.08
 00Z 26 Jul 2017   1099.67  30.50
 12Z 26 Jul 2017   621.10  54.53
 00Z 27 Jul 2017   26.68  50.93
 12Z 27 Jul 2017   0.00  27.12
 00Z 28 Jul 2017   0.00  28.67
 12Z 28 Jul 2017   0.00  31.06
 00Z 29 Jul 2017   4.61  34.78
 12Z 29 Jul 2017   0.00  32.37
 00Z 30 Jul 2017   12.07  35.92
 12Z 30 Jul 2017   0.00  32.48
 00Z 31 Jul 2017   4.72  33.55
 12Z 31 Jul 2017   0.00  37.16
 00Z 01 Aug 2017   33.71  35.85
 12Z 01 Aug 2017   276.36  32.26
 00Z 02 Aug 2017   633.94  29.42
 12Z 02 Aug 2017   208.48  30.06
 00Z 03 Aug 2017   2038.30  28.48
 12Z 03 Aug 2017   8.46  30.46
 00Z 04 Aug 2017   1.50  17.16
 12Z 04 Aug 2017   0.00  14.93
 00Z 05 Aug 2017   0.00  16.51
 12Z 05 Aug 2017   0.00  25.21
 00Z 06 Aug 2017   0.00  34.16
 12Z 06 Aug 2017   0.00  30.13
 00Z 07 Aug 2017   22.37  28.39
 12Z 07 Aug 2017   43.51  26.91
 00Z 08 Aug 2017   197.53  25.68
 12Z 08 Aug 2017   0.00  24.03
 00Z 09 Aug 2017   236.17  29.25
 12Z 09 Aug 2017   28.59  33.59
 00Z 10 Aug 2017   324.47  32.45
 12Z 10 Aug 2017   769.75  32.56
 00Z 11 Aug 2017   4.03  31.96
 12Z 11 Aug 2017   0.00  21.07
 00Z 12 Aug 2017   26.88  22.33
 12Z 12 Aug 2017   0.00  25.91
 00Z 13 Aug 2017   8.85  27.09
 12Z 13 Aug 2017   0.01  39.33
 00Z 14 Aug 2017   598.62  29.92
 12Z 14 Aug 2017   644.67  36.90
 00Z 15 Aug 2017   587.32  34.57
 12Z 15 Aug 2017   11.57  44.54
 18Z 15 Aug 2017   487.34  43.08
 00Z 16 Aug 2017   2404.43  47.12
 12Z 16 Aug 2017   94.41  40.65
 00Z 17 Aug 2017   192.88  35.41
 12Z 17 Aug 2017   0.00  16.61
 00Z 18 Aug 2017   186.47  22.40
